gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact,occ_pattern_in_train,combined_percentile_vs_train_nn
data_sample_0,sample_17352,26,4.2695841789245605,3.946479320526123,0.015412566252052784,16,False,False,1.0
data_sample_1,sample_6683,26,4.16985559463501,3.8597733974456787,0.00238975090906024,16,False,False,1.0
data_sample_2,sample_14820,26,4.0529375076293945,3.733150005340576,0.012094869278371334,16,False,False,1.0
data_sample_3,sample_21022,26,3.873734474182129,3.556250810623169,0.009791386313736439,16,False,False,1.0
data_sample_4,sample_25473,26,4.123900890350342,3.804915428161621,0.011293221265077591,16,False,False,1.0
data_sample_5,sample_3447,26,4.405438423156738,4.12809419631958,0.008113316260278225,14,False,False,1.0
data_sample_6,sample_10240,26,4.156183242797852,3.845841407775879,0.0026494807098060846,16,False,False,1.0
data_sample_7,sample_25122,26,4.333707332611084,4.018850326538086,0.00716436468064785,16,False,False,1.0
data_sample_8,sample_14267,26,4.090546131134033,3.8088438510894775,0.012471781112253666,14,False,False,1.0
data_sample_9,sample_4967,26,4.142958164215088,3.8262217044830322,0.009043904021382332,16,False,False,1.0
data_sample_10,sample_9580,26,4.029733180999756,3.7481493949890137,0.012352881953120232,14,False,False,1.0
data_sample_11,sample_10595,26,4.22540807723999,3.9892702102661133,0.005368451587855816,12,False,False,1.0
data_sample_12,sample_26107,26,4.190849781036377,3.913583755493164,0.008035238832235336,14,False,False,1.0
data_sample_13,sample_14820,26,4.08884859085083,3.776137351989746,0.00501875439658761,16,False,False,1.0
data_sample_14,sample_12034,26,4.378350257873535,4.056697368621826,0.013960405252873898,16,False,False,1.0
data_sample_15,sample_8584,26,4.034415245056152,3.7560575008392334,0.009127133525907993,14,False,False,1.0
data_sample_16,sample_5023,26,4.12782621383667,3.851452350616455,0.007143359165638685,14,False,False,1.0
data_sample_17,sample_6189,26,3.880002975463867,3.5924036502838135,0.018368544057011604,14,False,False,1.0
data_sample_18,sample_10962,26,4.437448501586914,4.156854629516602,0.011363239958882332,14,False,False,1.0
data_sample_19,sample_11714,26,4.121834754943848,3.808385133743286,0.005756989121437073,16,False,False,1.0
data_sample_20,sample_1335,26,4.273940086364746,3.963250160217285,0.002997724572196603,16,False,False,1.0
data_sample_21,sample_11919,26,4.2192463874816895,3.9438135623931885,0.0062022022902965546,14,False,False,1.0
data_sample_22,sample_20793,26,4.163871765136719,3.847834348678589,0.008345170877873898,16,False,False,1.0
data_sample_23,sample_22239,26,4.198703289031982,3.952286720275879,0.01564732752740383,12,False,False,1.0
data_sample_24,sample_12876,26,4.103250503540039,3.7872982025146484,0.008259827271103859,16,False,False,1.0
data_sample_25,sample_8897,26,4.201375961303711,3.941591262817383,0.029015611857175827,12,False,False,1.0
data_sample_26,sample_11902,26,4.233028888702393,3.914642333984375,0.010694230906665325,16,False,False,1.0
data_sample_27,sample_20503,26,4.068614482879639,3.757744789123535,0.0031773950904607773,16,False,False,1.0
data_sample_28,sample_10688,26,3.957576036453247,3.673189163208008,0.015156138688325882,14,False,False,1.0
data_sample_29,sample_28316,26,4.009054183959961,3.692385196685791,0.008976527489721775,16,False,False,1.0
data_sample_30,sample_4790,26,4.093867301940918,3.7812070846557617,0.004968023858964443,16,False,False,1.0
data_sample_31,sample_3932,26,4.031852722167969,3.7554216384887695,0.0072005633264780045,14,False,False,1.0
